chunk_id,source_pdf,page_number,report_type,match_name,text
1,FIBA Box Score EGY vs ANG 28 February.pdf,1,FIBA Box Score,EGY vs ANG - 28 Feb 2026,"FIBA Basketball World Cup 2027 African FIBA Box Score Qualifiers Borg Elarab Arena, Sat 28 Feb 2026 Start time: 23:00 Game No.: 29779-D-4 Attendance: 500 Egypt 72 - 83 Angola Game Duration: 02:11 (16-25, 22-21, 20-16, 14-21) Report Generated: Thu 05 Mar 2026 18:13 Crew Chief: Yann Vezo Davidson (MAD) Umpire(s): Arnold Hloniphizwe Moseya (RSA) , Kouakou Toussaint Niamien (CIV) Q1 Q2 Q3 Q4 Scoring by 5 Minute intervals EGY 7 16 24 38 45 58 65 72 ANG 17 25 29 46 55 62 69 83 Coach: Agustin Julbe (ESP) Egypt (EGY) Assistant Coach(es): Alfred Julbe Bosch (ESP) Field Goals 2 Points 3 Points Free Throws Rebounds Fouls No Name Min AS TO ST BS +/- EF PTS M/A % M/A % M/A % M/A % OR DR TOT PF FD 1 Ibrahim Zahran 22:07 2/3 66.7 2/3 66.7 0/0 0.0 0/2 0.0 1 4 5 1 1 0 0 1 2 -4 6 4 *4 Ehab Amin 12:03 1/5 20.0 1/3 33.3 0/2 0.0 0/0 0.0 0 3 3 1 2 0 1 2 1 -8 1 2 5 Amr Abdelhalim (C) 32:13 5/17 29.4 4/8 50.0 1/9 11.1 7/8 87.5 1 5 6 1 2 0 2 1 7 0 12 18 *7 Ahmed Metwaly 22:24 3/6 50.0 0/0 0.0 3/6 50.0 4/6 66.7 0 1 1 2 1 3 0 4 5 -9 13 13 *8 Mohab Abdalatif 11:58 1/3 33.3 1/1 100.0 0/2 0.0 0/0 0.0 1 0 1 2 1 1 0 1 0 -9 3 2 9 Adam Moussa 19:15 2/6 33.3 2/5"
2,FIBA Box Score EGY vs ANG 28 February.pdf,1,FIBA Box Score,EGY vs ANG - 28 Feb 2026,50.0 0/0 0.0 3/6 50.0 4/6 66.7 0 1 1 2 1 3 0 4 5 -9 13 13 *8 Mohab Abdalatif 11:58 1/3 33.3 1/1 100.0 0/2 0.0 0/0 0.0 1 0 1 2 1 1 0 1 0 -9 3 2 9 Adam Moussa 19:15 2/6 33.3 2/5 40.0 0/1 0.0 0/1 0.0 0 1 1 2 0 3 0 3 1 -3 5 4 *10 Anas Mahmoud 25:30 4/8 50.0 4/8 50.0 0/0 0.0 0/0 0.0 2 1 3 3 3 2 1 0 0 -11 10 8 15 Patrick Gardner 08:45 1/3 33.3 0/2 0.0 1/1 100.0 0/0 0.0 0 2 2 0 0 0 0 2 0 1 3 3 28 Khaled Abdelgawad DNP 35 Ahmed Rehan DNP *50 Assem Marei 31:34 3/9 33.3 3/9 33.3 0/0 0.0 6/11 54.5 6 5 11 3 0 0 3 3 9 -9 18 12 55 Omar Oraby 14:11 3/5 60.0 3/5 60.0 0/0 0.0 0/2 0.0 3 2 5 2 0 0 0 3 2 -3 9 6 Team/Coach 0 3 3 2 1 Totals 200:00 25/65 38.5 20/44 45.5 5/21 23.8 17/30 56.7 14 27 41 17 12 9 7 21 27 -11 81 72 Coach: Jose Claros Canals (ESP) Angola (ANG) Assistant Coach(es): Anibal Moreira (ANG) Field Goals 2 Points 3 Points Free Throws Rebounds Fouls No Name Min AS TO ST BS +/- EF PTS M/A % M/A % M/A % M/A % OR DR TOT PF FD 0 Eduardo Francisco 05:27 0/0 0.0 0/0 0.0 0/0 0.0 0/0 0.0 0 0 0 1
3,FIBA Box Score EGY vs ANG 28 February.pdf,1,FIBA Box Score,EGY vs ANG - 28 Feb 2026,(ANG) Field Goals 2 Points 3 Points Free Throws Rebounds Fouls No Name Min AS TO ST BS +/- EF PTS M/A % M/A % M/A % M/A % OR DR TOT PF FD 0 Eduardo Francisco 05:27 0/0 0.0 0/0 0.0 0/0 0.0 0/0 0.0 0 0 0 1 0 0 0 1 0 2 1 0 *1 Selton Miguel 27:13 5/12 41.7 3/8 37.5 2/4 50.0 2/4 50.0 1 3 4 2 0 2 0 1 1 11 13 14 3 Gerson Goncalves (C) 16:35 0/3 0.0 0/1 0.0 0/2 0.0 2/2 100.0 1 3 4 3 3 0 0 1 1 -2 3 2 *5 Childe Dundao 30:50 6/13 46.2 0/3 0.0 6/10 60.0 11/12 91.7 1 3 4 4 2 2 0 2 6 12 29 29 *14 Clesio Castro 02:04 0/0 0.0 0/0 0.0 0/0 0.0 0/0 0.0 0 1 1 0 1 0 0 2 0 5 0 0 *15 Abou Gakou 16:07 3/7 42.9 3/4 75.0 0/3 0.0 0/0 0.0 1 1 2 2 3 3 0 3 0 19 6 6 18 Islando Manuel 16:06 1/6 16.7 0/3 0.0 1/3 33.3 0/0 0.0 0 0 0 1 0 0 0 3 0 1 -1 3 24 Bruno Fernando 27:59 6/10 60.0 5/7 71.4 1/3 33.3 1/1 100.0 2 8 10 1 2 0 2 4 4 3 21 14 34 Kevin Kokila 28:38 2/4 50.0 1/3 33.3 1/1 100.0 1/1 100.0 0 4 4 2 0 0 0 3 2 1 10 6 47 Milton Bande Valente 12:17 2/5 40.0 2/3 66.7
4,FIBA Box Score EGY vs ANG 28 February.pdf,1,FIBA Box Score,EGY vs ANG - 28 Feb 2026,71.4 1/3 33.3 1/1 100.0 2 8 10 1 2 0 2 4 4 3 21 14 34 Kevin Kokila 28:38 2/4 50.0 1/3 33.3 1/1 100.0 1/1 100.0 0 4 4 2 0 0 0 3 2 1 10 6 47 Milton Bande Valente 12:17 2/5 40.0 2/3 66.7 0/2 0.0 3/5 60.0 0 0 0 0 0 1 0 3 4 -2 3 7 66 Braz Machi 07:19 1/2 50.0 1/2 50.0 0/0 0.0 0/0 0.0 0 2 2 0 0 0 0 3 0 2 3 2 *77 Bamba Joao Cisse 09:24 0/2 0.0 0/2 0.0 0/0 0.0 0/0 0.0 2 0 2 1 0 0 0 1 0 3 1 0 Team/Coach 2 6 8 3 0 Totals 200:00 26/64 40.6 15/36 41.7 11/28 39.3 20/25 80.0 10 31 41 17 14 8 2 27 18 11 94 83 EGY ANG EGY ANG Points from Turnovers 18 12 Biggest Lead 0 (0-0) 11 (3-14) Points in the Paint 40 (20/42) 47.6 30 (15/31) 48.4 Biggest Scoring Run 6 (38-43) 7 (0-7) Second Chance Points 13 10 Points per Possession 0.94 1.04 Fast Break Points 20 23 Lead Changes 1 Fast Break Points from Turnovers 6 9 Times Tied 0 Bench Points 35 34 Time with Lead 00:00 39:14 Legend No Playing Number Min Minutes Played M/A Made Attempts % Shooting Percentage OR Offensive Rebounds DR Defensive Rebounds TOT Total Rebounds AS Assists TO Turnovers ST Steals BS Blocked Shots BA Blocks Against PF Personal Fouls FD Fouls Drawn +/- Plus / Minus EF Efficiency PTS Points
5,FIBA Box Score EGY vs ANG 28 February.pdf,1,FIBA Box Score,EGY vs ANG - 28 Feb 2026,00:00 39:14 Legend No Playing Number Min Minutes Played M/A Made Attempts % Shooting Percentage OR Offensive Rebounds DR Defensive Rebounds TOT Total Rebounds AS Assists TO Turnovers ST Steals BS Blocked Shots BA Blocks Against PF Personal Fouls FD Fouls Drawn +/- Plus / Minus EF Efficiency PTS Points * Game Starters (c) Captain DNP Did Not Play
6,FIBA Box Score MLI vs EGY 26 February.pdf,1,FIBA Box Score,MLI vs EGY - 26 Feb 2026,"FIBA Basketball World Cup 2027 African FIBA Box Score Qualifiers Borg Elarab Arena, Thu 26 Feb 2026 Start time: 23:00 Game No.: 29779-D-1 Attendance: 2000 Mali 86 - 77 Egypt Game Duration: 01:46 (26-22, 20-12, 23-16, 17-27) Report Generated: Thu 05 Mar 2026 18:24 Crew Chief: Yann Vezo Davidson (MAD) Umpire(s): Didier Gaga (RWA) , Oumar SY (MTN) Q1 Q2 Q3 Q4 Scoring by 5 Minute intervals MLI 14 26 32 46 58 69 73 86 EGY 10 22 31 34 42 50 59 77 Coach: Alhadji Dicko (MLI) Mali (MLI) Assistant Coach(es): Boubacar Kanoute (MLI) Field Goals 2 Points 3 Points Free Throws Rebounds Fouls No Name Min AS TO ST BS +/- EF PTS M/A % M/A % M/A % M/A % OR DR TOT PF FD 1 Soumaila Sissouma 01:08 0/0 0.0 0/0 0.0 0/0 0.0 0/0 0.0 0 0 0 0 0 0 0 0 0 -7 0 0 *4 Siriman Kanoute 31:13 8/12 66.7 7/11 63.6 1/1 100.0 5/10 50.0 2 9 11 10 4 1 0 3 6 18 31 22 8 Allaye Togo 06:48 1/3 33.3 0/1 0.0 1/2 50.0 0/0 0.0 1 1 2 1 2 0 0 0 0 -5 2 3 *9 Ibrahima Cherif Haidara (C) 34:11 2/10 20.0 2/4 50.0 0/6 0.0 0/0 0.0 1 5 6 1 0 2 7 1 0 0 12 4 *10 Fousseyni Drame 13:54 3/7 42.9 3/6 50.0 0/1 0.0 0/0 0.0 3 2 5 0 0 0 0 2 1 7 7 6 *11 Oumar Ballo 36:05 9/16 56.2 9/16 56.2 0/0"
7,FIBA Box Score MLI vs EGY 26 February.pdf,1,FIBA Box Score,MLI vs EGY - 26 Feb 2026,50.0 0/6 0.0 0/0 0.0 1 5 6 1 0 2 7 1 0 0 12 4 *10 Fousseyni Drame 13:54 3/7 42.9 3/6 50.0 0/1 0.0 0/0 0.0 3 2 5 0 0 0 0 2 1 7 7 6 *11 Oumar Ballo 36:05 9/16 56.2 9/16 56.2 0/0 0.0 5/8 62.5 4 7 11 4 1 2 0 3 5 20 29 23 *12 Mahamane Coulibaly 33:29 3/10 30.0 3/8 37.5 0/2 0.0 2/2 100.0 2 3 5 3 3 1 0 3 1 23 7 8 14 Hassan Drame 07:01 0/1 0.0 0/0 0.0 0/1 0.0 0/0 0.0 0 1 1 2 0 0 0 2 0 -14 2 0 16 Mamadou Keita 03:50 0/0 0.0 0/0 0.0 0/0 0.0 0/0 0.0 0 0 0 0 0 0 0 0 0 7 0 0 20 Tamandjan dit Youba Konate 01:59 0/1 0.0 0/0 0.0 0/1 0.0 0/0 0.0 0 0 0 0 0 0 0 2 0 -4 -1 0 24 Moulaye Mamadou Sissoko 09:44 1/3 33.3 1/3 33.3 0/0 0.0 0/0 0.0 3 1 4 0 1 1 0 1 0 -2 4 2 35 Mamoudou Diarra 20:38 6/10 60.0 4/6 66.7 2/4 50.0 4/4 100.0 2 5 7 0 2 0 0 1 4 2 19 18 Team/Coach 1 2 3 0 0 Totals 200:00 33/73 45.2 29/55 52.7 4/18 22.2 16/24 66.7 19 36 55 21 13 7 7 18 17 9 115 86 Coach: Agustin Julbe (ESP) Egypt (EGY) Assistant Coach(es): Alfred Julbe Bosch (ESP) Field Goals 2 Points 3 Points Free Throws
8,FIBA Box Score MLI vs EGY 26 February.pdf,1,FIBA Box Score,MLI vs EGY - 26 Feb 2026,19 18 Team/Coach 1 2 3 0 0 Totals 200:00 33/73 45.2 29/55 52.7 4/18 22.2 16/24 66.7 19 36 55 21 13 7 7 18 17 9 115 86 Coach: Agustin Julbe (ESP) Egypt (EGY) Assistant Coach(es): Alfred Julbe Bosch (ESP) Field Goals 2 Points 3 Points Free Throws Rebounds Fouls No Name Min AS TO ST BS +/- EF PTS M/A % M/A % M/A % M/A % OR DR TOT PF FD 1 Ibrahim Zahran 10:47 1/3 33.3 1/1 100.0 0/2 0.0 0/0 0.0 1 1 2 1 0 0 0 0 0 -1 3 2 *4 Ehab Amin 27:53 3/10 30.0 3/6 50.0 0/4 0.0 0/0 0.0 1 1 2 4 1 3 0 1 4 -19 7 6 5 Amr Abdelhalim (C) 22:27 5/12 41.7 3/6 50.0 2/6 33.3 10/11 90.9 0 1 1 2 2 1 0 2 8 13 16 22 *7 Ahmed Metwaly 27:18 5/13 38.5 0/1 0.0 5/12 41.7 2/2 100.0 0 4 4 0 4 1 0 3 2 0 10 17 *8 Mohab Abdalatif 18:37 2/4 50.0 2/4 50.0 0/0 0.0 0/0 0.0 1 1 2 1 0 1 0 1 0 -15 6 4 9 Adam Moussa 15:47 1/7 14.3 1/3 33.3 0/4 0.0 0/0 0.0 0 3 3 3 0 2 0 2 0 1 4 2 *10 Anas Mahmoud 23:06 3/6 50.0 3/6 50.0 0/0 0.0 0/0 0.0 0 2 2 1 0 1 3 3 1 -19 10 6 *15 Patrick Gardner 20:18 2/10 20.0 2/5 40.0 0/5 0.0 1/2 50.0 3 1 4 2
9,FIBA Box Score MLI vs EGY 26 February.pdf,1,FIBA Box Score,MLI vs EGY - 26 Feb 2026,3 3 0 2 0 2 0 1 4 2 *10 Anas Mahmoud 23:06 3/6 50.0 3/6 50.0 0/0 0.0 0/0 0.0 0 2 2 1 0 1 3 3 1 -19 10 6 *15 Patrick Gardner 20:18 2/10 20.0 2/5 40.0 0/5 0.0 1/2 50.0 3 1 4 2 1 0 0 0 1 1 1 5 28 Khaled Abdelgawad 15:02 1/7 14.3 1/7 14.3 0/0 0.0 1/2 50.0 4 2 6 0 1 0 1 1 2 -13 2 3 35 Ahmed Rehan DNP 50 Assem Marei DNP 55 Omar Oraby 18:45 5/6 83.3 5/6 83.3 0/0 0.0 0/0 0.0 3 5 8 0 0 0 0 4 0 7 17 10 Team/Coach 3 2 5 0 1 Totals 200:00 28/78 35.9 21/45 46.7 7/33 21.2 14/17 82.4 16 23 39 14 9 9 4 18 18 -9 81 77 MLI EGY MLI EGY Points from Turnovers 12 17 Biggest Lead 23 (65-42) 1 (18-19) Points in the Paint 58 (29/51) 56.9 42 (21/43) 48.8 Biggest Scoring Run 14 (46-31) 10 (85-75) Second Chance Points 24 14 Points per Possession 1.11 0.98 Fast Break Points 18 24 Lead Changes 5 Fast Break Points from Turnovers 2 5 Times Tied 2 Bench Points 23 39 Time with Lead 37:36 02:08 Legend No Playing Number Min Minutes Played M/A Made Attempts % Shooting Percentage OR Offensive Rebounds DR Defensive Rebounds TOT Total Rebounds AS Assists TO Turnovers ST Steals BS Blocked Shots BA Blocks Against PF Personal Fouls FD Fouls Drawn +/- Plus / Minus EF Efficiency PTS Points *
10,FIBA Box Score MLI vs EGY 26 February.pdf,1,FIBA Box Score,MLI vs EGY - 26 Feb 2026,02:08 Legend No Playing Number Min Minutes Played M/A Made Attempts % Shooting Percentage OR Offensive Rebounds DR Defensive Rebounds TOT Total Rebounds AS Assists TO Turnovers ST Steals BS Blocked Shots BA Blocks Against PF Personal Fouls FD Fouls Drawn +/- Plus / Minus EF Efficiency PTS Points * Game Starters (c) Captain DNP Did Not Play
