match_name,date,team,opponent,player_name,minutes,fg_made,fg_attempted,two_made,two_attempted,three_made,three_attempted,ft_made,ft_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,personal_fouls,fouls_drawn,plus_minus,efficiency,points,source_pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,EGY,ANG,Ibrahim Zahran,22:07,2,3,2,3,0,0,0,2,1,4,5,1,1,0,0,1,2,-4,6,4,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,EGY,ANG,Ehab Amin,12:03,1,5,1,3,0,2,0,0,0,3,3,1,2,0,1,2,1,-8,1,2,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,EGY,ANG,Amr Abdelhalim,32:13,5,17,4,8,1,9,7,8,1,5,6,1,2,0,2,1,7,0,12,18,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,EGY,ANG,Ahmed Metwaly,22:24,3,6,0,0,3,6,4,6,0,1,1,2,1,3,0,4,5,-9,13,13,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,EGY,ANG,Mohab Abdalatif,11:58,1,3,1,1,0,2,0,0,1,0,1,2,1,1,0,1,0,-9,3,2,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,EGY,ANG,Adam Moussa,19:15,2,6,2,5,0,1,0,1,0,1,1,2,0,3,0,3,1,-3,5,4,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,EGY,ANG,Anas Mahmoud,25:30,4,8,4,8,0,0,0,0,2,1,3,3,3,2,1,0,0,-11,10,8,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,EGY,ANG,Patrick Gardner,08:45,1,3,0,2,1,1,0,0,0,2,2,0,0,0,0,2,0,1,3,3,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,EGY,ANG,Assem Marei,31:34,3,9,3,9,0,0,6,11,6,5,11,3,0,0,3,3,9,-9,18,12,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,EGY,ANG,Omar Oraby,14:11,3,5,3,5,0,0,0,2,3,2,5,2,0,0,0,3,2,-3,9,6,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,ANG,EGY,Eduardo Francisco,05:27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,ANG,EGY,Selton Miguel,27:13,5,12,3,8,2,4,2,4,1,3,4,2,0,2,0,1,1,11,13,14,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,ANG,EGY,Gerson Goncalves,16:35,0,3,0,1,0,2,2,2,1,3,4,3,3,0,0,1,1,-2,3,2,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,ANG,EGY,Childe Dundao,30:50,6,13,0,3,6,10,11,12,1,3,4,4,2,2,0,2,6,12,29,29,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,ANG,EGY,Clesio Castro,02:04,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,5,0,0,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,ANG,EGY,Abou Gakou,16:07,3,7,3,4,0,3,0,0,1,1,2,2,3,3,0,3,0,19,6,6,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,ANG,EGY,Islando Manuel,16:06,1,6,0,3,1,3,0,0,0,0,0,1,0,0,0,3,0,1,-1,3,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,ANG,EGY,Bruno Fernando,27:59,6,10,5,7,1,3,1,1,2,8,10,1,2,0,2,4,4,3,21,14,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,ANG,EGY,Kevin Kokila,28:38,2,4,1,3,1,1,1,1,0,4,4,2,0,0,0,3,2,1,10,6,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,ANG,EGY,Milton Bande Valente,12:17,2,5,2,3,0,2,3,5,0,0,0,0,0,1,0,3,4,-2,3,7,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,ANG,EGY,Braz Machi,07:19,1,2,1,2,0,0,0,0,0,2,2,0,0,0,0,3,0,2,3,2,FIBA Box Score EGY vs ANG 28 February.pdf
EGY vs ANG - 28 Feb 2026,28 Feb 2026,ANG,EGY,Bamba Joao Cisse,09:24,0,2,0,2,0,0,0,0,2,0,2,1,0,0,0,1,0,3,1,0,FIBA Box Score EGY vs ANG 28 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,MLI,EGY,Soumaila Sissouma,01:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,MLI,EGY,Siriman Kanoute,31:13,8,12,7,11,1,1,5,10,2,9,11,10,4,1,0,3,6,18,31,22,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,MLI,EGY,Allaye Togo,06:48,1,3,0,1,1,2,0,0,1,1,2,1,2,0,0,0,0,-5,2,3,FIBA Box Score MLI vs EGY 26 February.pdf
